action,client_id_to_link,ad_account_id,ad_account_name,proposed_client_name,match_score,alternative_matches,best_page_match,currency,timezone,account_status,current_link_client_id,current_link_client_name,notes
orphan,,act_778749191526502,Malar Furniture Mayiladuthurai,Advanced Grohair & Gloskin Kanchipuram,0,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f85703f,act_665862045876529,ARA - Ad Grohair Cumbum,Advanced Grohair & Gloskin Cumbum,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857049,act_1291905555999417,ARA  - TML VEG BASKET,TML,90,,,INR,Asia/Kolkata,1,,,
link,699e8fc056c639ba7f857095,act_4401605763456960,ARA - Grohair Thiruvannamalai,Advanced Grohair & Gloskin Thiruvannamalai,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857045,act_766861385918106,Dr. EduMed Anna Nagar,Dr Edumed Anna Nagar,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbf56c639ba7f857051,act_4228813784069518,ARA - Envisol  Bio Plast,Envisol,90,,,INR,Asia/Kolkata,1,,,
link,68e7a5df061e3d76f3cb10a5,act_1543617913485113,ARA - Cuddalore,Advanced Grohair & Gloskin Cuddalore,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_3706283373011864,ARA - Theni Advanced Grohair,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,2,,,
link,68deb1b211a12187d52ad0ec,act_742377521774044,Ad Grohair Kallakurichi,Advanced Grohair & Gloskin Kallakurichi,100,,,INR,Asia/Kolkata,1,,,
link,699e8fbe56c639ba7f857037,act_1114514800644321,ARA - Ad Grohair Theni,Advanced Grohair & Gloskin Theni,100,,,INR,Asia/Kolkata,2,,,
